a	ఒక	oka	[sound:ఒక_google_female.mp3]
abandon	విడిచిపెట్టు	viḍicipeṭṭu	[sound:విడిచిపెట్టు_google_female.mp3]
abandoned	విడిచిపెట్టారు	viḍicipeṭṭāru	[sound:విడిచిపెట్టారు_google_female.mp3]
ability	సామర్థ్యం	sāmarthyaṁ	[sound:సామర్థ్యం_google_female.mp3]
able	చేయగలరు	cēyagalaru	[sound:చేయగలరు_google_female.mp3]
about	గురించి	gurin̄ci	[sound:గురించి_google_female.mp3]
above	పైన	paina	[sound:పైన_google_female.mp3]
abroad	విదేశాలలో	vidēśālalō	[sound:విదేశాలలో_google_female.mp3]
absence	లేకపోవడం	lēkapōvaḍaṁ	[sound:లేకపోవడం_google_female.mp3]
absent	గైర్హాజరు	gair'hājaru	[sound:గైర్హాజరు_google_female.mp3]
absolute	సంపూర్ణమైన	sampūrṇamaina	[sound:సంపూర్ణమైన_google_female.mp3]
absolutely	ఖచ్చితంగా	khaccitaṅgā	[sound:ఖచ్చితంగా_google_female.mp3]
absorb	గ్రహిస్తాయి	grahistāyi	[sound:గ్రహిస్తాయి_google_female.mp3]
abuse	దుర్వినియోగం	durviniyōgaṁ	[sound:దుర్వినియోగం_google_female.mp3]
academic	విద్యాసంబంధమైన	vidyāsambandhamaina	[sound:విద్యాసంబంధమైన_google_female.mp3]
accent	యాస	yāsa	[sound:యాస_google_female.mp3]
accept	అంగీకరించు	aṅgīkarin̄cu	[sound:అంగీకరించు_google_female.mp3]
acceptable	ఆమోదయోగ్యమైనది	āmōdayōgyamainadi	[sound:ఆమోదయోగ్యమైనది_google_female.mp3]
access	యాక్సెస్	yākses	[sound:యాక్సెస్_google_female.mp3]
accident	ప్రమాదం	pramādaṁ	[sound:ప్రమాదం_google_female.mp3]
accidental	ప్రమాదవశాత్తు	pramādavaśāttu	[sound:ప్రమాదవశాత్తు_google_female.mp3]
accidentally	అనుకోకుండా	anukōkuṇḍā	[sound:అనుకోకుండా_google_female.mp3]
accommodation	వసతి	vasati	[sound:వసతి_google_female.mp3]
accompany	తోడు	tōḍu	[sound:తోడు_google_female.mp3]
according to	ప్రకారం	prakāraṁ	[sound:ప్రకారం_google_female.mp3]
account	ఖాతా	khātā	[sound:ఖాతా_google_female.mp3]
