a 	 ఒక 	(Oka)	
abandon 	 విడిచిపెట్టు 	(Viḍicipeṭṭu)	
abandoned 	 విడిచిపెట్టారు 	(Viḍicipeṭṭāru)	
ability 	 సామర్థ్యం 	(Sāmarthyaṁ)	
able 	 చేయగలరు 	(Cēyagalaru)	
about 	 గురించి 	(Gurin̄ci)	
above 	 పైన 	(Paina)	
abroad 	 విదేశాలలో 	(Vidēśālalō)	
absence 	 లేకపోవడం 	(Lēkapōvaḍaṁ)	
absent 	 గైర్హాజరు 	(Gair'hājaru)	
absolute 	 సంపూర్ణమైన 	(Sampūrṇamaina)	
absolutely 	 ఖచ్చితంగా 	(Khaccitaṅgā)	
absorb 	 గ్రహిస్తాయి 	(Grahistāyi)	
abuse 	 దుర్వినియోగం 	(Durviniyōgaṁ)	
academic 	 విద్యాసంబంధమైన 	(Vidyāsambandhamaina)	
accent 	 యాస 	(Yāsa)	
accept 	 అంగీకరించు 	(Aṅgīkarin̄cu)	
acceptable 	 ఆమోదయోగ్యమైనది 	(Āmōdayōgyamainadi)	
access 	 యాక్సెస్ 	(Yākses)	
accident 	 ప్రమాదం 	(Pramādaṁ)	
accidental 	 ప్రమాదవశాత్తు 	(Pramādavaśāttu)	
accidentally 	 అనుకోకుండా 	(Anukōkuṇḍā)	
accommodation 	 వసతి 	(Vasati)	
accompany 	 తోడు 	(Tōḍu)	
according to 	 ప్రకారం 	(Prakāraṁ)	
account 	 ఖాతా 	(Khātā)	
account for 	 కోసం ఖాతా 	(Kōsaṁ khātā)	
accurate 	 ఖచ్చితమైన 	(Khaccitamaina)	
accurately 	 ఖచ్చితంగా 	(Khaccitaṅgā)	
accuse 	 నిందిస్తారు 	(Nindistāru)	
achieve 	 సాధిస్తారు 	(Sādhistāru)	
achievement 	 సాధించిన 	(Sādhin̄cina)	
acid 	 యాసిడ్ 	(Yāsiḍ)	
acknowledge 	 గుర్తించండి 	(Gurtin̄caṇḍi)	
a couple 	 ఒక జంట 	(Oka jaṇṭa)	
acquire 	 సంపాదించు 	(Sampādin̄cu)	
across 	 అంతటా 	(Antaṭā)	
act 	 చట్టం 	(Caṭṭaṁ)	
action 	 చర్య 	(Carya)	
active 	 చురుకుగా 	(Curukugā)	
actively 	 చురుకుగా 	(Curukugā)	
activity 	 కార్యాచరణ 	(Kāryācaraṇa)	
actor 	 నటుడు 	(Naṭuḍu)	
actress 	 నటి 	(Naṭi)	
actual 	 అసలు 	(Asalu)	
actually 	 నిజానికి 	(Nijāniki)	
ad 	 ప్రకటన 	(Prakaṭana)	
adapt 	 స్వీకరించు 	(Svīkarin̄cu)	
add 	 జోడించు 	(Jōḍin̄cu)	
addition 	 అదనంగా 	(Adanaṅgā)	
additional 	 అదనపు 	(Adanapu)	
add on 	 జోడించు 	(Jōḍin̄cu)	
address 	 చిరునామా 	(Cirunāmā)	
add up 	 చేర్చండి 	(Cērcaṇḍi)	
add up to 	 వరకు జోడించండి 	(Varaku jōḍin̄caṇḍi)	
adequate 	 తగినంత 	(Taginanta)	
adequately 	 తగినంతగా 	(Taginantagā)	
adjust 	 సర్దుబాటు 	(Sardubāṭu)	
admiration 	 మెచ్చుకోవడం 	(Meccukōvaḍaṁ)	
admire 	 మెచ్చుకుంటారు 	(Meccukuṇṭāru)	
admit 	 ఒప్పుకుంటారు 	(Oppukuṇṭāru)	
adopt 	 స్వీకరించు 	(Svīkarin̄cu)	
adult 	 పెద్దలు 	(Peddalu)	
advance 	 ముందుకు 	(Munduku)	
advanced 	 అభివృద్ధి చెందింది 	(Abhivr̥d'dhi cendindi)	
advantage 	 ప్రయోజనం 	(Prayōjanaṁ)	
adventure 	 సాహసం 	(Sāhasaṁ)	
advert 	 ప్రకటన 	(Prakaṭana)	
advertise 	 ప్రచారం చేయండి 	(Pracāraṁ cēyaṇḍi)	
advertisement 	 ప్రకటన 	(Prakaṭana)	
advertising 	 ప్రకటనలు 	(Prakaṭanalu)	
advice 	 సలహా 	(Salahā)	
advise 	 సలహా ఇవ్వండి 	(Salahā ivvaṇḍi)	
affair 	 వ్యవహారం 	(Vyavahāraṁ)	
affect 	 ప్రభావితం చేస్తాయి 	(Prabhāvitaṁ cēstāyi)	
affection 	 ఆప్యాయత 	(Āpyāyata)	
afford 	 స్థోమత 	(Sthōmata)	
afraid 	 భయపడ్డాను 	(Bhayapaḍḍānu)	
after 	 తర్వాత 	(Tarvāta)	
afternoon 	 మధ్యాహ్నం 	(Madhyāhnaṁ)	
afterwards 	 తరువాత 	(Taruvāta)	
again 	 మళ్ళీ 	(Maḷḷī)	
against 	 వ్యతిరేకంగా 	(Vyatirēkaṅgā)	
age 	 వయస్సు 	(Vayas'su)	
aged 	 వృద్ధుడు 	(Vr̥d'dhuḍu)	
agency 	 ఏజెన్సీ 	(Ējensī)	
agent 	 ఏజెంట్ 	(Ējeṇṭ)	
