a 	 ﻿a
abandon 	 త్యజించు
abandoned 	 త్యాగపూరిత
ability 	 నేర్పు
able 	 యోగ్యమైన
about 	 గురించి
above 	 మీద
abroad 	 విదేశాలలో
absence 	 పరోక్షం
absent 	 గైర్హాజరు
absolute 	 సంపూర్ణ
absolutely 	 పూర్తిగా
absorb 	 పీల్చు
abuse 	 తిట్టు
academic 	 అకడమిక్
accent 	 యాస
accept 	 ఒప్పుకో
acceptable 	 ఆమోదయోగ్యమైన
access 	 ప్రవేశం
accident 	 ప్రమాదం
accidental 	 ఆకస్మిక
accidentally 	 అకస్మాత్తుగా
accommodation 	 వసతి
accompany 	 దానితో పాటు
according to 	 ప్రకారం
account 	 ఖాతా
account for 	 ఖాతా కొరకు
accurate 	 ఖచ్చితమైన
accurately 	 ఖచ్చితంగా
accuse 	 ఆరోపించు
achieve 	 సాధించు
achievement 	 సాధించిన విజయం
acid 	 ఆమ్లం
acknowledge 	 అంగీకరించండి
a couple 	 ఒక జంట
acquire 	 ఆర్జించు
across 	 అవతల
act 	 నటించు
action 	 చర్య
active 	 చురుకైన
actively 	 చురుకుగా
activity 	 క్రియ
actor 	 నటుడు
actress 	 నటి
actual 	 అసలు
actually 	 నిజంగా
ad 	 ప్రకటన
adapt 	 అడాప్ట్
add 	 కూడండి
addition 	 కూడిక
additional 	 అదనపు
add on 	 జోడించు
address 	 చిరునామా
add up 	 జోడించండి
add up to 	 దీనికి జోడించండి
adequate 	 తగినంత
adequately 	 తగినంతగా
adjust 	 పరిష్కరించు
admiration 	 ప్రశంస
admire 	 మెచ్చుకొను
admit 	 అంగీకరించు
adopt 	 దత్తత తీసుకో
adult 	 వయోజనుడు
advance 	 బయానా
advanced 	 అడ్వాన్స్ డ్
advantage 	 సఫలత
adventure 	 తెగించు
advert 	 ప్రకటన
advertise 	 ప్రకటించు
advertisement 	 ప్రకటన
advertising 	 ప్రకటనలు
advice 	 సలహా
advise 	 సలహా ఇచ్చు
affair 	 వ్యవహారం
affect 	 ప్రభావం
affection 	 ప్రేమ
afford 	 భరించండి
afraid 	 భయం
after 	 తరువాత
afternoon 	 మధ్యాహ్నం
afterwards 	 ఆనక
again 	 మళ్లీ
against 	 ఎదురు
age 	 వయసు
aged 	 ముసలి
agency 	 ఏజెన్సీ
agent 	 ఏజెంట్
aggressive 	 దూకుడు
ago 	 ago
agree 	 ఒప్పుకోవడం
agreement 	 ఒప్పందం
ahead 	 ముందు
aid 	 ఆదుకొను
aim 	 ధ్యేయం
air 	 గాలి
aircraft 	 విమానము
airport 	 విమానాశ్రయం
alarm 	 హెచ్చరిక
alarmed 	 ఆందోళన చెందారు
alarming 	 ఆందోళనకరంగా ఉంది
alcohol 	 ఆల్కహాల్
alcoholic 	 మత్తు
alive 	 సజీవ
all 	 అందరూ
allied 	 మిత్ర
allow 	 అంగీకరించు
allow for 	 అనుమతించండి
all right 	 అయితే సరే
ally 	 మిత్రపక్షం
almost 	 దరిదాపు
alone 	 ఒంటరి
along 	 కలిసి
alongside 	 పక్కన
aloud 	 గట్టిగా
alphabet 	 అక్షరమాల
alphabetical 	 అక్షరమాల
alphabetically 	 అక్షరక్రమం ప్రకారం
already 	 ఇప్పటికే
also 	 కూడా
alter 	 తప్పించు
alternative 	 ప్రత్యామ్నాయం
alternatively 	 ప్రత్యామ్నాయంగా
although 	 అయినప్పటికీ
altogether 	 మొత్తానికి
always 	 ఎప్పుడు
a.m. 	 ఎ.ఎం.
amaze 	 amaze
amazed 	 ఆశ్చర్యంగా ఉంది
